Material,min_d,max_d,min_c,max_c,min_k,max_k,min_e,max_e,category,mean_e
Alumina,237,248,0.189,0.196,15,22.2,25.92093748,32.849621,Ceramics,29.38527924
"Cast iron, ductile (nodular)",440,453,0.11,0.118,16.8,25.4,28.51525907,36.84740968,Metals and Alloys,32.68133438
Wrought magnesium alloys,93.6,122,0.228,0.253,28.9,72.8,24.83443416,47.40300412,Metals and Alloys,36.11871914
Cast magnesium alloys,109,116,0.228,0.253,28.9,72.2,26.7996791,46.03178902,Metals and Alloys,36.41573406
Low Alloy Steel,487,493,0.0979,0.127,19.6,31.8,30.56918514,44.62095696,Metals and Alloys,37.59507105
Boron Carbide,147,159,0.201,0.308,23.1,52,26.12538421,50.46329359,Ceramics,38.2943389
"Cast iron, gray",440,453,0.103,0.118,23.1,41.6,32.35571047,47.15597947,Metals and Alloys,39.75584497
High Carbon Steel,487,493,0.105,0.122,27.2,30.6,37.29439636,42.90067132,Metals and Alloys,40.09753384
Medium Carbon Steel,487,493,0.105,0.124,26,31.8,36.46244643,44.09078815,Metals and Alloys,40.27661729
Bronze,531,562,0.0912,0.0936,28.9,36.4,37.41050761,43.75793048,Metals and Alloys,40.58421905
Low Carbon Steel,487,493,0.11,0.121,28.3,31.2,38.93624276,43.14132126,Metals and Alloys,41.03878201
Silicon,144,147,0.16,0.171,80.9,86.7,43.1733251,46.68380769,Ceramics,44.92856639
Silicon carbide,194,200,0.158,0.191,46.2,75.1,37.63140178,53.56136667,Ceramics,45.59638423
Tungsten Carbides,952,991,0.0439,0.0697,31.8,50.8,36.45560368,59.23591107,Ceramics,47.84575738
Tungsten Alloys,1110,1220,0.031,0.0334,57.8,82,44.59706268,57.8042905,Metals and Alloys,51.20067659
Cast Al-alloys,156,181,0.215,0.238,46.2,92.4,39.36429855,63.09046838,Metals and Alloys,51.22738346
Aluminum/Silicon carbide composite,166,181,0.191,0.215,57.8,92.4,42.80895701,59.96453952,Composites,51.38674826
Commercially Pure Zinc,445,446,0.092,0.0967,57.8,72.2,48.64495863,55.80193581,Metals and Alloys,52.22344722
Zinc die-casting alloys,309,437,0.0967,0.128,57.8,75.1,41.55816815,64.81352945,Metals and Alloys,53.1858488
Nikel,551,559,0.108,0.11,38.7,56.2,47.98916128,58.78552543,Metals and Alloys,53.38734335
Brass,483,534,0.0889,0.0915,57.8,75.1,49.81823823,60.57607696,Metals and Alloys,55.19715759
Age-hardening wrought Al-alloys,156,181,0.213,0.244,68.2,101,47.60409226,66.78745391,Metals and Alloys,57.19577309
Aluminum nitride,204,208,0.186,0.196,80.9,116,55.40459909,68.76836482,Ceramics,62.08648195
Non age-hardening wrought Al-alloys,156,181,0.212,0.238,68.8,139,47.70066666,77.38114757,Metals and Alloys,62.54090712
Gold,1200,1210,0.0299,0.0322,176,184,79.46621924,84.66999469,Metals and Alloys,82.06810696
Copper,557,558,0.0889,0.0927,92.4,225,67.64169217,107.8818103,Metals and Alloys,87.76175125
Silver,655,662,0.0549,0.0573,240,244,92.89930032,96.20579193,Metals and Alloys,94.55254612
